,0
0,-0.20534873008728027
1,1.604604959487915
2,-4.565278053283691
3,-0.6396442651748657
4,-0.03463049978017807
5,0.5766779780387878
6,-0.2684665024280548
7,1.738054633140564
8,-0.4769549071788788
9,0.880389392375946
10,1.3154562711715698
11,1.1971750259399414
12,-0.06102511286735535
13,0.3221173584461212
14,1.3446972370147705
15,-0.9198355078697205
16,-0.8521156907081604
17,-1.3179185390472412
18,-1.1516772508621216
19,1.1152703762054443
20,-1.1078038215637207
21,0.5770677328109741
22,1.5537387132644653
23,0.7789525389671326
24,2.3459978103637695
25,-0.4306081533432007
26,-0.6871887445449829
27,-0.39781153202056885
28,-0.8344061374664307
29,0.866350531578064
30,0.4555981159210205
31,-2.0086631774902344
32,-0.5098251104354858
33,-0.9596834778785706
34,-0.06644666194915771
35,-1.627683401107788
36,-0.7683382630348206
37,0.903235137462616
38,-0.8821029663085938
39,-0.3914729952812195
40,0.6608697175979614
41,-0.15512506663799286
42,0.3929893672466278
43,-2.5006582736968994
44,0.13228638470172882
45,-2.1427958011627197
46,0.2537946105003357
47,0.4217519760131836
48,-0.8126567602157593
49,0.22305241227149963
50,1.4816821813583374
51,2.1864778995513916
52,-1.3628250360488892
53,0.25352007150650024
54,0.5381330847740173
55,-0.7832887172698975
56,-1.0109460353851318
57,-0.4733607769012451
58,-0.1691548079252243
59,2.314509391784668
60,0.38990163803100586
61,-0.3760661482810974
62,-2.0143678188323975
63,-0.9705911874771118
64,-0.48983415961265564
65,1.6420187950134277
66,-0.09193865954875946
67,1.3489537239074707
68,-1.5410457849502563
69,-1.2622554302215576
70,-1.3086256980895996
71,-0.21444880962371826
72,1.1670373678207397
73,0.15579622983932495
74,-0.7278784513473511
75,0.07149263471364975
76,0.4014488458633423
77,-0.8386778235435486
78,0.6600760221481323
79,-0.2998262345790863
80,-1.0011043548583984
81,-0.5733897686004639
82,0.578459620475769
83,0.9765535593032837
84,0.5434267520904541
85,0.850883424282074
86,1.2736361026763916
87,-1.062013864517212
88,1.017055869102478
89,-2.001978874206543
90,2.1553897857666016
91,0.48340320587158203
92,-0.16445927321910858
93,0.4769572615623474
94,0.39095187187194824
95,-0.2679941952228546
96,-1.229598045349121
97,-0.6944929361343384
98,0.35745468735694885
99,0.9798154234886169
100,0.2068365514278412
101,-0.4144984781742096
102,-1.265626311302185
103,-0.052875712513923645
104,-0.6586575508117676
105,-1.7437798976898193
106,1.3906923532485962
107,-0.7901628017425537
108,0.861897349357605
109,-0.15484744310379028
110,-0.3222619593143463
111,0.28048574924468994
112,0.12263593077659607
113,0.18042537569999695
114,-0.554274320602417
115,0.8028754591941833
116,0.23955979943275452
117,0.1986015886068344
118,-0.2781792879104614
119,-0.8872478604316711
120,-0.35805588960647583
121,1.5593806505203247
122,1.092949628829956
123,0.7855809330940247
124,-1.880671739578247
125,-0.6647698879241943
126,-1.5841050148010254
127,1.477089524269104
